Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
557,1786023688-557,N/A,Mahindra Lifespaces Crown Square,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹128.9 Lac,N/A,N/A,1482 sqft,Carpet Area,BTM Layout,Bangalore,West,"BTM Layout, Bangalore",400557,Mahindra Lifespaces Crown Square,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,18,22,1 Covered,North-East,Semi-Furnished,₹8698 /sqft,"Jogging Track, Power Backup, Security, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,557,7734000,8378500,9023000,9667500,10312000,10956500,11601000,12245500,12632200,12890000
558,1786023688-558,N/A,Casagrand Royal Plaza,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹171.5 Lac,N/A,N/A,1867 sqft,Plot Area,JP Nagar,Bangalore,South,"JP Nagar, Bangalore",400558,Casagrand Royal Plaza,Casagrand,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,1,5,1 Covered,North,Semi-Furnished,₹9186 /sqft,"Security, Swimming Pool, Elevator, Gymnasium, Power Backup, Tennis Court, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,558,10290000,11147500,12005000,12862500,13720000,14577500,15435000,16292500,16807000,17150000
559,1786023688-559,N/A,Kolte-Patil Grand Terraces,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹235.5 Lac,N/A,N/A,2531 sqft,Built-up Area,C V Raman Nagar,Bangalore,South,"C V Raman Nagar, Bangalore",400559,Kolte-Patil Grand Terraces,Kolte-Patil,Verified Partner,Zero Brokerage,Under Construction,Yes,8d ago,2,6,1 Covered,East,Fully-Furnished,₹9305 /sqft,"Tennis Court, Jogging Track, Parking, Elevator, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,559,14130000,15307500,16485000,17662500,18840000,20017500,21195000,22372500,23079000,23550000
560,1786023688-560,N/A,Piramal Realty Emerald Residences,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹43.2 Lac,N/A,N/A,574 sqft,Carpet Area,Varthur,Bangalore,West,"Varthur, Bangalore",400560,Piramal Realty Emerald Residences,Piramal Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,3,7,1 Covered,East,Unfurnished,₹7526 /sqft,"Clubhouse, Elevator, Jogging Track, Garden, Parking, Tennis Court, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,560,2592000,2808000,3024000,3240000,3456000,3672000,3888000,4104000,4233600,4320000
561,1786023688-561,N/A,Prestige Group Serene Greens,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹92.3 Lac,N/A,N/A,1025 sqft,Built-up Area,Whitefield,Bangalore,West,"Whitefield, Bangalore",400561,Prestige Group Serene Greens,Prestige Group,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,4,8,1 Covered,North-East,Semi-Furnished,₹9005 /sqft,"Gymnasium, Elevator, Garden, Swimming Pool, Clubhouse, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,561,5538000,5999500,6461000,6922500,7384000,7845500,8307000,8768500,9045400,9230000
562,1786023688-562,N/A,DLF Limited Skyline Estate,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹119.9 Lac,N/A,N/A,1553 sqft,Carpet Area,Koramangala,Bangalore,West,"Koramangala, Bangalore",400562,DLF Limited Skyline Estate,DLF Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,5,9,1 Covered,West,Fully-Furnished,₹7721 /sqft,"Power Backup, Swimming Pool, Elevator, Parking, Gymnasium, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,562,7194000,7793500,8393000,8992500,9592000,10191500,10791000,11390500,11750200,11990000
563,1786023688-563,N/A,Godrej Properties Imperia Heights,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹141.4 Lac,N/A,N/A,1910 sqft,Plot Area,Indiranagar,Bangalore,South,"Indiranagar, Bangalore",400563,Godrej Properties Imperia Heights,Godrej Properties,Verified Partner,Zero Brokerage,Under Construction,Yes,12d ago,6,10,1 Covered,North,Semi-Furnished,₹7403 /sqft,"Parking, Tennis Court, Garden, Clubhouse, Power Backup, Swimming Pool, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,563,8484000,9191000,9898000,10605000,11312000,12019000,12726000,13433000,13857200,14140000
564,1786023688-564,N/A,Sobha Limited Elegance Villas,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹199.5 Lac,N/A,N/A,2319 sqft,Carpet Area,HSR Layout,Bangalore,East,"HSR Layout, Bangalore",400564,Sobha Limited Elegance Villas,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,7,11,1 Covered,North-East,Semi-Furnished,₹8603 /sqft,"Swimming Pool, Garden, Gymnasium, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,564,11970000,12967500,13965000,14962500,15960000,16957500,17955000,18952500,19551000,19950000
565,1786023688-565,N/A,Oberoi Realty Urban Towers,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹44.4 Lac,N/A,N/A,509 sqft,Super Built-up Area,Electronic City,Bangalore,Central,"Electronic City, Bangalore",400565,Oberoi Realty Urban Towers,Oberoi Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,2d ago,8,12,1 Covered,North-East,Semi-Furnished,₹8723 /sqft,"Parking, Tennis Court, Power Backup, Garden, Elevator, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,565,2664000,2886000,3108000,3330000,3552000,3774000,3996000,4218000,4351200,4440000
566,1786023688-566,N/A,Hiranandani Group Central Park,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹94.4 Lac,N/A,N/A,965 sqft,Built-up Area,Hebbal,Bangalore,North,"Hebbal, Bangalore",400566,Hiranandani Group Central Park,Hiranandani Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,9,13,1 Covered,North-East,Fully-Furnished,₹9782 /sqft,"Clubhouse, Jogging Track, Parking, Power Backup, Swimming Pool, Gymnasium, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,566,5664000,6136000,6608000,7080000,7552000,8024000,8496000,8968000,9251200,9440000
567,1786023688-567,N/A,Lodha Group Valley Court,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹133.5 Lac,N/A,N/A,1424 sqft,Carpet Area,Yelahanka,Bangalore,Central,"Yelahanka, Bangalore",400567,Lodha Group Valley Court,Lodha Group,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,10,14,1 Covered,North,Unfurnished,₹9375 /sqft,"Power Backup, Jogging Track, Tennis Court, Clubhouse, Swimming Pool, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,567,8010000,8677500,9345000,10012500,10680000,11347500,12015000,12682500,13083000,13350000
568,1786023688-568,N/A,Aparna Constructions Heights Gardens,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹163.8 Lac,N/A,N/A,2012 sqft,Built-up Area,Sarjapur Road,Bangalore,East,"Sarjapur Road, Bangalore",400568,Aparna Constructions Heights Gardens,Aparna Constructions,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,11,15,1 Covered,North-East,Semi-Furnished,₹8141 /sqft,"Parking, Clubhouse, Garden, Tennis Court, Jogging Track, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,568,9828000,10647000,11466000,12285000,13104000,13923000,14742000,15561000,16052400,16380000
569,1786023688-569,N/A,Brigade Group Palms Haven,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹164.4 Lac,N/A,N/A,2346 sqft,Built-up Area,Bellandur,Bangalore,West,"Bellandur, Bangalore",400569,Brigade Group Palms Haven,Brigade Group,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,12,16,1 Covered,West,Semi-Furnished,₹7008 /sqft,"Clubhouse, Power Backup, Security, Elevator, Parking, Tennis Court, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,569,9864000,10686000,11508000,12330000,13152000,13974000,14796000,15618000,16111200,16440000
570,1786023688-570,N/A,Puravankara Vista Enclave,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹57.5 Lac,N/A,N/A,686 sqft,Carpet Area,Thanisandra,Bangalore,Central,"Thanisandra, Bangalore",400570,Puravankara Vista Enclave,Puravankara,Verified Partner,Zero Brokerage,Ready To Move,Yes,7d ago,13,17,1 Covered,North,Unfurnished,₹8382 /sqft,"Gymnasium, Garden, Tennis Court, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,570,3450000,3737500,4025000,4312500,4600000,4887500,5175000,5462500,5635000,5750000
571,1786023688-571,N/A,Rustomjee Avenue Square,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹108.5 Lac,N/A,N/A,1118 sqft,Carpet Area,Marathahalli,Bangalore,Central,"Marathahalli, Bangalore",400571,Rustomjee Avenue Square,Rustomjee,Verified Partner,Zero Brokerage,Under Construction,Yes,8d ago,14,18,1 Covered,North-East,Fully-Furnished,₹9705 /sqft,"Garden, Jogging Track, Swimming Pool, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,571,6510000,7052500,7595000,8137500,8680000,9222500,9765000,10307500,10633000,10850000
572,1786023688-572,N/A,Tata Housing Oasis Plaza,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹116.2 Lac,N/A,N/A,1448 sqft,Built-up Area,Jayanagar,Bangalore,Central,"Jayanagar, Bangalore",400572,Tata Housing Oasis Plaza,Tata Housing,Verified Partner,Zero Brokerage,Under Construction,Yes,9d ago,15,19,1 Covered,North-East,Semi-Furnished,₹8025 /sqft,"Jogging Track, Garden, Tennis Court, Elevator, Clubhouse, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,572,6972000,7553000,8134000,8715000,9296000,9877000,10458000,11039000,11387600,11620000
573,1786023688-573,N/A,Mahindra Lifespaces Solitaire Terraces,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹167.4 Lac,N/A,N/A,1850 sqft,Super Built-up Area,Rajajinagar,Bangalore,East,"Rajajinagar, Bangalore",400573,Mahindra Lifespaces Solitaire Terraces,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,16,20,1 Covered,North,Unfurnished,₹9049 /sqft,"Power Backup, Elevator, Tennis Court, Security, Gymnasium, Parking, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,573,10044000,10881000,11718000,12555000,13392000,14229000,15066000,15903000,16405200,16740000
574,1786023688-574,N/A,Casagrand Signature Residences,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹214.8 Lac,N/A,N/A,2353 sqft,Super Built-up Area,Banashankari,Bangalore,Central,"Banashankari, Bangalore",400574,Casagrand Signature Residences,Casagrand,Verified Partner,Zero Brokerage,Ready To Move,Yes,11d ago,17,21,1 Covered,West,Unfurnished,₹9129 /sqft,"Security, Parking, Swimming Pool, Power Backup, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,574,12888000,13962000,15036000,16110000,17184000,18258000,19332000,20406000,21050400,21480000
575,1786023688-575,N/A,Kolte-Patil Crown Greens,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹49.5 Lac,N/A,N/A,536 sqft,Built-up Area,Malleshwaram,Bangalore,Central,"Malleshwaram, Bangalore",400575,Kolte-Patil Crown Greens,Kolte-Patil,Verified Partner,Zero Brokerage,Ready To Move,Yes,12d ago,18,22,1 Covered,North-East,Unfurnished,₹9235 /sqft,"Jogging Track, Clubhouse, Tennis Court, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,575,2970000,3217500,3465000,3712500,3960000,4207500,4455000,4702500,4851000,4950000
576,1786023688-576,N/A,Piramal Realty Royal Estate,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹108.7 Lac,N/A,N/A,1184 sqft,Super Built-up Area,Kaggadasapura,Bangalore,North,"Kaggadasapura, Bangalore",400576,Piramal Realty Royal Estate,Piramal Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,1d ago,1,5,1 Covered,North-East,Fully-Furnished,₹9181 /sqft,"Garden, Clubhouse, Elevator, Security, Jogging Track, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,576,6522000,7065500,7609000,8152500,8696000,9239500,9783000,10326500,10652600,10870000
